symbol,display_name,volume_24h,candles_count,trades,total_pnl,return_pct,profit_factor,win_rate_pct,expectancy,max_drawdown_pct,robustness_score
BIO,BIO,215526.48179,5001,104,3116.8276529402033,311.6827652940204,1.6648925537585493,48.07692307692308,29.96949666288657,-22.955745710062534,294.15222373819364
PROMPT,PROMPT,166990.313137,5001,116,1641.8560952892203,164.18560952892213,1.2548817201842148,47.41379310344828,14.153931855941554,-47.19982345476342,128.84259969901112
AVNT,AVNT,1616451.4091900003,3751,85,1466.6769262741198,146.6676926274121,1.3978246217602481,45.88235294117647,17.255022662048468,-40.09198564693031,139.03745572088695
HEMI,HEMI,136641.186273,4026,73,1117.252285873546,111.7252285873546,1.6188190297399077,47.94520547945205,15.304825833884193,-38.89097404551043,111.31900222338383
APEX,APEX,804924.7967500003,3328,76,936.0797725219171,93.60797725219166,1.288487367763014,44.73684210526316,12.316839112130488,-42.40728584426231,86.17207106512092
PYTH,PYTH,752611.186608,5001,88,925.75498669169,92.57549866916912,1.346045262984576,44.31818181818182,10.519943030587386,-31.123201510173338,83.12421241113678
PROVE,PROVE,168522.36456,4579,93,881.8971439709156,88.18971439709154,1.443304452995695,52.68817204301075,9.482764988934576,-20.968135931496505,80.96440583610803
VINE,VINE,103091.321999,5001,112,754.9641290321854,75.49641290321863,1.2166105350208396,50.89285714285714,6.740751152073083,-33.636994635545186,54.51890747485744
LAYER,LAYER,253151.9100730001,5001,84,699.6679705065623,69.96679705065631,1.5938406709238084,45.23809523809524,8.329380601268598,-23.118523582996975,64.78077240332179
LDO,LDO,1052012.4872060004,5001,96,571.085143427427,57.10851434274284,1.2942197327421165,46.875,5.9488035773690315,-30.41766064579844,43.077303055490056
S,S,2892199.3291209997,5001,109,490.0131637702507,49.00131637702512,1.2432730991865424,41.284403669724774,4.495533612571108,-23.30666602183804,35.28141582543328
ENA,ENA,2416670.359080001,5001,104,355.4609282721317,35.546092827213215,1.1628087411815247,46.15384615384615,3.417893541078189,-26.87765268051733,21.41698538242219
CELO,CELO,363804.4017949998,5001,83,320.71915875883354,32.071915875883384,1.2086940941709488,44.57831325301205,3.8640862501064284,-26.94739778300969,21.729802234174535
BIGTIME,BIGTIME,159499.608141,5001,69,275.4600533768101,27.546005337681034,1.2290945309920571,46.3768115942029,3.992174686620436,-29.03283360715248,18.64507671324256
GAS,GAS,196616.95561,5001,69,219.22917307820376,21.922917307820367,1.181028484174199,40.57971014492754,3.1772343924377355,-28.84320513114028,11.970488456737165
NEO,NEO,162635.346627,5001,70,211.98179713864715,21.198179713864707,1.1672360287340957,47.14285714285714,3.0283113876949592,-16.88665033870307,16.89334569047154
AERO,AERO,961787.1546899999,3247,64,153.5478203393953,15.354782033939518,1.1046337271316595,40.625,2.3991846928030514,-43.06077345003688,-2.336909182594031
BLUR,BLUR,453055.3440489998,5001,74,138.161141161021,13.816114116102085,1.0890078249726878,47.2972972972973,1.8670424481219052,-44.36414696758146,-6.121167057670544
JTO,JTO,610092.84703,5001,81,123.19415039002638,12.319415039002646,1.0848184785745587,41.9753086419753,1.520915436913906,-26.425328670416814,0.4755745970167471
POL,POL,1572358.0606709998,5001,97,101.28986481564363,10.128986481564372,1.0741103347910528,46.391752577319586,1.0442254104705528,-45.685697716815625,-12.55842127766117
ME,ME,7266632.333771999,5001,97,90.41224244463132,9.04122424446303,1.0504741868270913,42.2680412371134,0.932084973655993,-29.25809264809875,-5.449073959320632
DOT,DOT,816111.5906100001,5001,90,88.26450705438984,8.826450705438948,1.064651477102849,43.333333333333336,0.9807167450487759,-45.464154667892686,-13.428181372483966
SKY,SKY,384110.2411330002,3759,42,83.92228056695637,8.39222805669564,1.1328074810055997,38.095238095238095,1.998149537308485,-16.564147963113836,4.667415046383017
ZETA,ZETA,175274.6318320001,5000,86,64.74530920687603,6.474530920687593,1.0459976291150619,43.02325581395349,0.7528524326380933,-24.473359389881935,-5.255013451249412
BLAST,BLAST,211500.837394,5000,105,55.9806106151145,5.598061061511439,1.027725460899346,40.95238095238095,0.5331486725249,-35.60985351024204,-12.341778556821653
0G,0G,5596466.724170002,3559,75,43.91755332898313,4.391755332898373,1.0218222544810296,37.333333333333336,0.5855673777197751,-39.28876871174622,-14.57322210854548
STABLE,STABLE,1001540.1080270004,1685,21,42.6414601811382,4.264146018113801,1.0687739936809217,38.095238095238095,2.030545722911343,-29.64008835467186,-5.514914700025875
STRK,STRK,789657.3784160002,5001,88,34.40958195953874,3.4409581959538027,1.0213654036492223,44.31818181818182,0.39101797681294026,-37.26423812859296,-14.964045302661104
PAXG,PAXG,32318700.1383,5001,10,24.12406930793567,2.412406930793587,1.2887995814045459,40.0,2.412406930793567,-4.5916951552520695,5.332852966857828
DYM,DYM,1498542.5175809995,5000,89,-9.040221862806114,-0.9040221862805398,0.9949121005787332,43.82022471910113,-0.1015755265483833,-31.342580904119504,-16.629552052995916
OP,OP,1409922.1531629998,5000,108,-10.918722093729672,-1.0918722093729571,0.9947543675848279,39.81481481481482,-0.10109927864564511,-39.03727270875973,-20.56929087771679
ICP,ICP,1642395.2423400003,3322,50,-14.990291980237599,-1.499029198023738,0.9864727026394611,52.0,-0.299805839604752,-50.62623536879166,-27.433065106634295
GRASS,GRASS,1376091.604929,5001,106,-20.732105093277013,-2.073210509327683,0.9922333411642921,36.79245283018868,-0.1955858971063869,-41.71900820246577,-22.873184158633386
