time,coin,dir,px,sz,ntl,fee,closedPnl
03/04/2025 10:08:56,HYPE/USDC,Buy,11.944,8.31,99.25464000000001,0.00290848,-0.03473888512000001
11/07/2025 14:09:05,HYPE/USDC,Sell,45.576,8.3,378.28080000000006,0.25420469,-0.33720468000000003
08/02/2026 14:57:08,ETH,Open Short,2120.8,0.0094,19.935520000000004,0.00287,-0.00287
08/02/2026 14:57:27,ETH,Open Short,2122.4,0.0094,19.950560000000003,0.002872,-0.002872
08/02/2026 14:57:43,ETH,Open Short,2122.8,0.0094,19.954320000000003,0.002873,-0.002873
08/02/2026 14:57:45,ETH,Open Short,2123.2,0.0094,19.95808,0.002873,-0.002873
08/02/2026 14:57:55,ETH,Open Short,2123.9,0.0094,19.964660000000002,0.002874,-0.002874
08/02/2026 14:57:56,ETH,Open Short,2124.3,0.0094,19.968420000000002,0.002875,-0.002875
08/02/2026 14:58:06,ETH,Close Short,2124.2,0.0094,19.96748,0.002875,-0.015095
08/02/2026 14:58:45,ETH,Close Short,2124,0.0094,19.965600000000002,0.002875,-0.013215000000000001
08/02/2026 14:58:59,ETH,Open Short,2124.4,0.0094,19.96936,0.002875,-0.002875
08/02/2026 15:00:23,ETH,Close Short,2127.1,0.047,99.9737,0.043188,-0.226488
08/02/2026 15:03:21,BTC,Open Short,71468,0.00028,20.011039999999998,0.002881,-0.002881
08/02/2026 15:03:28,ETH,Open Short,2127.5,0.0094,19.9985,0.002879,-0.002879
08/02/2026 15:03:28,BTC,Open Short,71503,0.00028,20.02084,0.002883,-0.002883
08/02/2026 15:03:28,ETH,Open Short,2127.9,0.0094,20.002260000000003,0.00288,-0.00288
08/02/2026 15:03:30,BTC,Open Short,71517,0.00028,20.024759999999997,0.002883,-0.002883
08/02/2026 15:03:54,ETH,Close Short,2127.8,0.0094,20.001320000000003,0.00288,-0.00382
08/02/2026 15:03:57,BTC,Close Short,71498,0.00028,20.01944,0.002882,-0.0034419999999999997
08/02/2026 15:03:58,BTC,Close Short,71484,0.00028,20.01552,0.002882,0.0004780000000000001
08/02/2026 15:04:01,ETH,Close Short,2127.2,0.0094,19.99568,0.002879,0.0018210000000000001
08/02/2026 15:04:02,ETH,Open Long,2126.7,0.0094,19.99098,0.002878,-0.002878
08/02/2026 15:04:13,BTC,Close Short,71456,0.00028,20.007679999999997,0.002881,0.008319
08/02/2026 15:04:27,ETH,Open Long,2126,0.0094,19.9844,0.002877,-0.002877
08/02/2026 15:04:27,ETH,Open Long,2125.6,0.0094,19.98064,0.002877,-0.002877
08/02/2026 15:04:31,BTC,Open Long,71421,0.00028,19.99788,0.002879,-0.002879
08/02/2026 15:05:07,BTC,Open Long,71373,0.00028,19.98444,0.002877,-0.002877
08/02/2026 15:05:25,ETH,Close Long,2122.8,0.0094,19.954320000000003,0.002873,-0.033893
08/02/2026 15:05:56,ETH,Close Long,2123,0.0054,11.4642,0.00165,-0.01839
08/02/2026 15:05:58,ETH,Close Long,2123,0.004,8.492,0.001222,-0.013621999999999999
08/02/2026 15:06:00,BTC,Close Long,71396,0.00028,19.990879999999997,0.002878,-0.0031579999999999998
08/02/2026 15:06:46,ETH,Close Long,2123.7,0.0094,19.96278,0.002874,-0.025434
08/02/2026 15:07:34,BTC,Close Long,71381,0.00028,19.98668,0.002878,-0.007358
08/02/2026 15:08:21,ETH,Open Long,2124,0.0094,19.965600000000002,0.002875,-0.002875
08/02/2026 15:09:00,BTC,Open Long,71354,0.00028,19.979119999999998,0.002876,-0.002876
08/02/2026 15:09:00,BTC,Open Long,71340,0.00028,19.975199999999997,0.002876,-0.002876
08/02/2026 15:09:01,ETH,Open Long,2123.1,0.0094,19.95714,0.002873,-0.002873
08/02/2026 15:09:01,ETH,Open Long,2122.7,0.0094,19.95338,0.002873,-0.002873
08/02/2026 15:09:23,ETH,Close Long,2122.6,0.0094,19.95244,0.002873,-0.009077
08/02/2026 15:10:11,ETH,Close Long,2121.2,0.006,12.7272,0.001832,-0.014192
08/02/2026 15:10:12,ETH,Close Long,2121.2,0.0034,7.212079999999999,0.001038,-0.008042
08/02/2026 15:10:20,BTC,Close Long,71303,0.00028,19.96484,0.002874,-0.015194
08/02/2026 15:10:22,ETH,Close Long,2121.6,0.0094,19.94304,0.002871,-0.018475
08/02/2026 15:10:29,BTC,Close Long,71327,0.00012,8.55924,0.001232,-0.003632
08/02/2026 15:10:30,BTC,Close Long,71327,0.00016,11.412320000000001,0.001643,-0.004843
08/02/2026 15:10:43,ETH,Open Long,2120.9,0.0094,19.93646,0.00287,-0.00287
08/02/2026 15:10:45,ETH,Open Long,2120.5,0.0094,19.9327,0.00287,-0.00287
08/02/2026 15:10:45,BTC,Open Long,71270,0.00028,19.955599999999997,0.002873,-0.002873
08/02/2026 15:11:02,ETH,Close Long,2121,0.0094,19.9374,0.00287,-0.00005000000000000013
08/02/2026 15:11:07,ETH,Close Long,2121.4,0.0094,19.94116,0.002871,0.003709
08/02/2026 15:11:09,BTC,Close Long,71296,0.00028,19.96288,0.002874,0.004406
08/02/2026 15:11:25,BTC,Open Short,71319,0.00028,19.96932,0.002875,-0.002875
08/02/2026 15:11:53,BTC,Open Short,71342,0.00028,19.975759999999998,0.002876,-0.002876
08/02/2026 15:11:54,BTC,Open Short,71356,0.00028,19.97968,0.002877,-0.002877
08/02/2026 15:12:09,ETH,Open Short,2122.1,0.0094,19.94774,0.002872,-0.002872
08/02/2026 15:12:18,BTC,Close Short,71347,0.00028,19.977159999999998,0.002876,-0.005116
08/02/2026 15:12:32,ETH,Close Short,2121.1,0.0094,19.93834,0.002871,0.006529
08/02/2026 15:12:36,ETH,Open Long,2120.7,0.0094,19.93458,0.00287,-0.00287
08/02/2026 15:13:16,BTC,Close Short,71339,0.00028,19.974919999999997,0.002876,-0.002876
08/02/2026 15:13:20,BTC,Close Short,71325,0.00028,19.970999999999997,0.002875,0.001045
08/02/2026 15:13:27,ETH,Open Long,2119,0.0094,19.9186,0.002868,-0.002868
08/02/2026 15:13:53,ETH,Close Long,2119.4,0.0094,19.92236,0.002868,-0.007098
08/02/2026 15:14:05,BTC,Open Short,71334,0.00016,11.413440000000001,0.001643,-0.001643
08/02/2026 15:14:06,BTC,Open Short,71334,0.00012,8.560080000000001,0.001232,-0.001232
08/02/2026 15:14:08,ETH,Close Long,2119.7,0.0094,19.925179999999997,0.002869,-0.004279
08/02/2026 15:14:24,ETH,Open Long,2118.5,0.0094,19.9139,0.002867,-0.002867
08/02/2026 15:14:36,ETH,Open Long,2118,0.0094,19.909200000000002,0.002866,-0.002866
08/02/2026 15:14:46,ETH,Close Long,2118.9,0.0094,19.91766,0.002868,0.003242
